Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Nikolaos,20290,419367,Andida,https://pleiades.stoa.org/places/40039,,Seals,,Andida: was bishop of Andida,Dignity,Dignity,,,,
Ioannes,20784,419520,Constantinople: Blachernai,,,Seals,,Constantinople: Blachernai: was protos tes presbeias of Constantinople: Blachernai,Dignity,Dignity,,,,
Anastasios,20121,419577,"Baalbek (Helioupolis, Malbec)",https://pleiades.stoa.org/places/678179,,Seals,,"Baalbek (Helioupolis, Malbec): was metropolitan of Baalbek (Helioupolis, Malbec)",Dignity,Dignity,,,,
Sergios,20117,419595,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Leon,114,444937,Constantinople: Hagia Euphemia,,,Semeioma on Leon of Chalcedon,122.18-20,Constantinople: Hagia Euphemia: could worship with his own clergy at Hagia Euphemia (?),"Leon 114: Constantinople, Hagia Euphemia: Specifies presence (dignity)",Dignity,,,,
Anonymus,953,444891,Antioch (Pisidia),https://pleiades.stoa.org/places/609307,,Semeioma on Leon of Chalcedon,"127.6, 9",Antioch (Pisidia): was metropolitan of Antioch (Pisidia),Anonymus 953: Antioch (Pisidia): Specifies presence (dignity),Dignity,,,,
Michael,6,223641,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,480,Constantinople: hailed from Constantinople,Michael 6: Constantinople: Specifies presence  ,Specifies presence,,,,
Nikephoros,105,223061,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,372.68,Constantinople: was recalled and put to trial in Constantinople,Nikephoros 105: Constantinople: Specifies presence ,Specifies presence,,,,
Maria,102,223084,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,376.86,Constantinople: was banished from Constantinople,Maria 102: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantinos,101,223088,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,376.91,Constantinople: was carried in chains and imprisoned in a tower in Constantinople,Konstantinos 101: Constantinople: Specifies presence ,Specifies presence,,,,
Theoktistos,101,223131,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,383.90,Constantinople: returned from his campaign in Syria to Constantinople,Theoktistos 101: Constantinople: Specifies presence ,Specifies presence,J 1030-31 TIQ,Skylitzes,,
Alach,101,223132,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,383.90,Constantinople: accompanied <Theoktistos 101> to Constantinople,Alach 101: Constantinople: Specifies presence ,Specifies presence,J 1030-31 TIQ,Skylitzes,,
Pinzarach,101,223133,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,383.90,Constantinople: arrived and was received by the emperor (<Romanos 3>) at Constantinople,Pinzarach 101: Constantinople: Specifies presence ,Specifies presence,,,,
Niketas,102,223135,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,383.90,Constantinople: returned with <Pinzarach 101> to Constantinople,Niketas 102: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantinos,101,223157,Constantinople: Blachernai,,,Skylitzes,385.46,Constantinople: Blachernai: was tortured in the palace of  Blachernai,"Konstantinos 101: Constantinople, Blachernai: Specifies presence ",Specifies presence," J 1031, September",Skylitzes,,
Ioannes,68,223158,Constantinople: Blachernai,,,Skylitzes,385.46,Constantinople: Blachernai: tortured <Konstantinos 101> Diogenes in the palace of  Blachernai,"Ioannes 68: Constantinople, Blachernai: Specifies presence ",Specifies presence," J 1031, September",Skylitzes,,
Basileios,103,223179,Constantinople,https://pleiades.stoa.org/places/520998,,Skylitzes,388.24,Constantinople: was banished from Constantinople,Basileios 103: Constantinople: Specifies presence ,Specifies presence,J 1033,Skylitzes,,
